program_product_cd,country_nm,mnth,users
MPL,Cape Verde,2022-07-01,5
SMB,Angola,2022-09-01,3
SMB,Moldova,2022-07-01,418
MPL,Malaysia,2022-09-01,1752
MPL,East Timor,2022-06-01,1
SMB,Slovenia,2022-08-01,95
SMB,Cyprus,2022-09-01,738
SMB,Antigua and Barbuda,2022-07-01,6
MPL,Seychelles,2022-07-01,685
MPL,Aruba,2022-06-01,14
MPL,Moldova,2022-06-01,5808
MPL,Djibouti,2022-09-01,10
MPL,Sudan,2022-09-01,18
SMB,Lebanon,2022-09-01,6
SMB,Puerto Rico,2022-07-01,3
MPL,Australia,2022-08-01,9465
MPL,Guadeloupe,2022-07-01,5
MPL,South Africa,2022-08-01,23480
MPL,Haiti,2022-08-01,5
SMB,French Polynesia,2022-07-01,2
SMB,Montenegro,2022-06-01,622
MPL,Japan,2022-08-01,54105
MPL,South Sudan,2022-09-01,41
MPL,Niger,2022-06-01,4
MPL,Morocco,2022-08-01,1460
MPL,Turkmenistan,2022-06-01,61
MPL,Pakistan,2022-08-01,165
SMB,Azerbaijan,2022-07-01,701
MPL,Uruguay,2022-09-01,142
MPL,Cambodia,2022-07-01,251
MPL,Cameroon,2022-08-01,53
MPL,Peru,2022-07-01,265
SMB,Australia,2022-09-01,295
SMB,Tanzania,2022-07-01,21
SMB,Latvia,2022-07-01,3876
MPL,American Samoa,2022-09-01,1
MPL,Guinea,2022-07-01,100
SMB,South Africa,2022-09-01,261
SMB,United Arab Emirates,2022-09-01,1639
