Event,Event Description,Event Number of Properties,Event Property,Property Description
,,,EditAction,
,,,RegistrationType,
Currency_Contract_Edit_Click,,1,ContractStatus,
Currency_Contract_Edit_Shown,,2,ContractStatus,
,,,RegistrationType,
Currency_Contract_Final_Onboard_Shown,,0,,
Currency_Contract_Load_Documents_Btn_Click,,1,upload_type,
Currency_Contract_Load_Documents_Shown,,0,,
Currency_Contract_Need_UK_Shown,,0,,
Currency_Contract_Number_Availability_Next,,1,NumberAvailability,
Currency_Contract_Number_Edit_Click,,1,NumberAvailability,
Currency_Contract_Planned_Sum,,1,ContractSum,
Currency_Contract_Save_Draft_Click,,1,CloseAction,
Currency_Contract_Show_VBK,,0,,
Currency_Contract_Sum_Availability,,1,SumAvailability,
Currency_Contract_Sum_Edit_Click,,1,ContractSum,
Currency_Contract_Sum_Enter_Next,,1,ContractSum,
Currency_Contract_Type_Next,,1,ContractType,
Currency_Create_Contract_Btn_Click,,1,type,
Currency_Create_Contract_Shown,,0,,
Currency_Exchange_Create,,3,RateOrder,
,,,TheSameCurrencies,
,,,ValidationError,
Currency_New_Contract_Additional_Info_Shown,,0,,
Currency_New_Contract_Common_Data_Shown,,0,,
Currency_New_Contract_Small,,3,ContractCurrency,
,,,ContractStatus,
,,,ContractType,
Currency_Other_Bank_Common_Data_Shown,,0,,
Currency_Other_Bank_Contract_Number_Shown,,0,,
Currency_Other_Bank_Onboard_Shown,,0,,
Currency_Other_Bank_Previous_Bank_Number_Shown,,0,,
Currency_Other_Bank_Reason_Next,,1,TransferReason,
Currency_Other_Bank_СС_Deregistration_Date_Shown,,0,,
Currency_Other_Bank_СС_Registration_Date_Shown,,0,,
Currency_Section_Open,,0,,
Currency_Tab_Switch,,1,tab,
customStory.loadError,,0,,
customStory.showStory,,0,,
Delete_Favorite,,0,,
Delivery_Alert_Shown,,1,deliveryType,
Delivery_Cancel,,0,,
Delivery_Confirmation,,2,deliveryType,
,,,type,
Delivery_Creation,,1,step,
Delivery_Shown,,1,type,
Deposit_Chart_Shown,,0,,
Deposit_Close_Sent,,0,,
Deposit_New_Open_Sent,,2,applicationId,
,,,openButton,
Deposit_Open_Date_Shown,,0,,
Deposit_Open_Fast_Done,,1,opened,
Deposit_Open_Profit_Shown,,0,,
Deposit_Open_Replenish_Switch,,1,replenish,
Deposit_Open_Term_Button,,1,term,
Deposit_Open_Wait_Exit,,0,,
Deposit_Open_Withdraw_Switch,,1,withdraw,
Deposit_Prolongation_Switch,,1,type,
Deposit_Refill_Conditions_Shown,,0,,
Deposit_Withdraw_Sent,,1,type,
details.closed,,1,project,
details.opened,,2,project,
,,,type,
details.refund.clicked,,0,,
Dislike_Aggregate_Click,,2,agrType,
,,,problemFlg,
docsUpload.final.shown,,4,applicationId,
,,,documents,
,,,isEio,
,,,opf,
docsUpload.shown,,4,applicationId,
,,,documents,
,,,isEio,
,,,opf,
documentDetails.act.copyButton.tapped,,0,,
documentDetails.act.createDocButton.tapped,,1,docType,
documentDetails.act.screen.initial.shown,,0,,
documentDetails.consignmentBill.copyButton.tapped,,0,,
documentDetails.consignmentBill.createDocButton.tapped,,1,docType,
documentDetails.consignmentBill.screen.initial.shown,,0,,
documentDetails.detailedInvoice.copyButton.tapped,,0,,
documentDetails.detailedInvoice.createDocButton.tapped,,1,docType,
documentDetails.detailedInvoice.screen.initial.shown,,0,,
documentDetails.outgoingInvoice.cardInvoice.copyButton.tapped,,0,,
documentDetails.outgoingInvoice.cardInvoice.createDocButton.tapped,,1,docType,
documentDetails.outgoingInvoice.cardInvoice.screen.initial.shown,,0,,
documentDetails.outgoingInvoice.requisitesInvoice.copyButton.tapped,,0,,
documentDetails.outgoingInvoice.requisitesInvoice.createDocButton.tapped,,1,docType,
documentDetails.outgoingInvoice.requisitesInvoice.editButton.tapped,,0,,
documentDetails.outgoingInvoice.requisitesInvoice.screen.initial.shown,,0,,
Eacq_Chat,,1,from,
Eacq_Product_Invoice_Submit,,0,,
Eacq_Product_Shown,,1,from,
Eacq_Product_Submit,,1,from,
Eacq_Product_Submit_Done,,1,from,
Edit_Favorite_Name,,0,,
Emloyee_Create_Steps,,2,creationType,
,,,stepNumber,
error.errorShown,,6,errorCode,
,,,localSessionId,
,,,project,
,,,screenId,
,,,shown,
,,,type,
FAQ.shown,,1,size,
FAQ.tap,,2,position,
,,,text,
FAQ_Shown,,1,size,
FAQ_Tap,,2,position,
,,,text,
favorites.block.createPayment.clicked,,1,providerCode,
favorites.block.createPayment.error,,1,providerCode,
favorites.block.createPayment.success,,1,providerCode,
favorites.block.favouriteCounterPartyTapped,,0,,
favorites.block.load.error,,0,,
favorites.block.load.success,,0,,
favorites.block.openAllTapped,,0,,
favorites.block.paymentTapped,,0,,
favorites.block.selfPaymentTapped,,0,,
favorites.screen.createPayment.clicked,,1,providerCode,
favorites.screen.createPayment.error,,1,providerCode,
favorites.screen.createPayment.success,,1,providerCode,
favorites.screen.editName.clicked,,1,providerCode,
favorites.screen.editName.error,,1,providerCode,
favorites.screen.editName.success,,1,providerCode,
favorites.screen.remove.clicked,,1,providerCode,
favorites.screen.remove.error,,1,providerCode,
favorites.screen.remove.success,,1,providerCode,
favorites.screen.selfPaymentTapped,,0,,
Features_Choose_Done,,3,features,
,,,text,
,,,type,
Features_Choose_Shown,,1,type,
Fines_Fine_Mark_Click,,0,,
Fines_Fine_Pay_Click,,0,,
Fines_Fine_Shown,,0,,
Fines_Fine_Unmark_Click,,0,,
Fines_List_Pay_Click,,0,,
Fines_List_Shown,,0,,
Fines_Open_Shown,,0,,
Fines_Pay,,1,Result,
Fines_Sub_List_Shown,,0,,
Fines_Success_Click,,0,,
Fines_Success_More_Click,,0,,
FNSNotifications_ChipType_Click,,1,notificationType,
FNSNotifications_Notification_Click,,1,id,
FT_Features_Company,,18,companyId,
,,,FTfeatures,
,,,FTfeatures_1,
,,,FTfeatures_10,
,,,FTfeatures_11,
,,,FTfeatures_12,
,,,FTfeatures_13,
,,,FTfeatures_14,
,,,FTfeatures_15,
,,,FTfeatures_16,
,,,FTfeatures_2,
,,,FTfeatures_3,
,,,FTfeatures_4,
,,,FTfeatures_5,
,,,FTfeatures_6,
,,,FTfeatures_7,
,,,FTfeatures_8,
,,,FTfeatures_9,
hard_Code_Banner_Shown,,2,banner_Down,
,,,banner_Up,
help.limit.entryPoint.pressed,,0,,
help.limit.onboarding.shown,,0,,
help.tariff.entryPoint.pressed,,0,,
help.tariff.onboarding.shown,,0,,
HowToGetPassword_Tap_Link,,0,,
Incoming_Currency_Amount_Exceeded_Shown,,0,,
Incoming_Currency_Confirmation_Method_Click,,1,ActionType,
Incoming_Currency_Contract_Expired_Click,,1,Action,
Incoming_Currency_Contracts_Click,,2,ContractType,
,,,СontractType,
Incoming_Currency_Contracts_Search,,1,ActionType,
Incoming_Currency_Contracts_Shown,,0,,
Incoming_Currency_Create_Contract_Btn_Click,,1,Type,
Incoming_Currency_CVO_Click,,1,Action,
Incoming_Currency_Documents_Shown,,1,NeedContract,
Incoming_Currency_Final_Onboard_Help_Click,,0,,
Incoming_Currency_Final_Onboard_Shown,,0,,
info.bringFriends.mainScreen.clickedInvite,,1,project,
info.bringFriends.mainScreen.clickedPersonalLink,,1,project,
info.bringFriends.whatToRecommendScreen.clickedProduct,,1,project,
input.amount.error,,2,amount,
,,,project,
input.amount.focused,,1,project,
input.closed,,1,project,
input.create.clicked,,1,project,
input.displayed,,1,project,
input.error,,1,project,
input.error.button.clicked,,1,project,
input.opened,,1,project,
input.shop.clicked,,1,project,
InputStory_Action,,3,action,
,,,name,
,,,storyId,
inquiries.filter.clicked,,0,,
inquiries.inquiry.clicked,,0,,
inquiries.inquiry.pdf.clicked,,0,,
inquiries.new.clicked,,0,,
inquiries.started,,0,,
Invite_Friend_My_Invitations_Link,,0,,
Invite_Friend_My_Invitations_ShortLink,,0,,
Invite_Friend_My_Invitations_Shown,,0,,
Invite_Friend_Offer_Shown,,1,step,
Invite_friends_contact,,0,,
Invite_friends_referral,,0,,
Invoice_Card_Acquiring_Shown,,0,,
Invoice_Card_Create_Btn_Click,,0,,
Invoice_Card_Create_Data_Shown,,0,,
Invoice_Card_Create_Goods_And_Services_Shown,,0,,
Invoice_Card_Done_Shown,,0,,
Invoice_Card_Good_And_Service_Edit_Shown,,1,editAim,
Invoice_Card_Goods_And_Services_Shown,,0,,
Invoice_Card_Send_Btn_Click,,0,,
Invoice_Change_Btn_Click,,0,,
Invoice_Create_Account_Data_Shown,,0,,
Invoice_Create_Btn_Click,,1,from,
Invoice_Create_Goods_And_Services_Shown,,0,,
Invoice_Create_Sheet_Shown,,0,,
Invoice_Create_Shown,,1,from,
Invoice_Drafts_Shown,,0,,
Invoice_Good_And_Service_Added,,0,,
Invoice_Good_And_Service_Edit_Error,,1,notValidate,
Invoice_Good_And_Service_Edit_Shown,,1,editAim,
Invoice_Goods_And_Services_Shown,,0,,
Invoice_Info_Shown,,0,,
Invoice_Repeat_Btn_Click,,0,,
Invoices_All_Shown,,3,fines,
,,,incomingInvoices,
,,,outgoingInvoices,
Like_Aggregate_Click,,2,agrType,
,,,problemFlg,
Limits_By_Company_Shown,,0,,
Limits_By_Exact_User_Change_Shown,,1,limitsType,
Limits_By_Exact_User_Shown,,0,,
Limits_By_Users_Shown,,0,,
list.actions.addToFavorites.clicked,,2,paymentStatus,
,,,providerCode,
list.actions.addToFavorites.error,,2,paymentStatus,
,,,providerCode,
list.actions.addToFavorites.success,,2,paymentStatus,
,,,providerCode,
list.actions.cancel.onConfirmation.multiple.clicked,,1,paymentsCount,
list.actions.cancel.onConfirmation.multiple.error,,2,paymentsCount,
,,,paymentsErrorCount,
list.actions.cancel.onConfirmation.multiple.success,,2,paymentsErrorCount,
,,,paymentsSuccessCount,
list.actions.cancel.onConfirmation.single.clicked,,1,providerCode,
list.actions.cancel.onConfirmation.single.error,,1,providerCode,
list.actions.cancel.onConfirmation.single.success,,1,providerCode,
list.actions.cancel.queuePayment.multiple.clicked,,1,paymentsCount,
list.actions.cancel.queuePayment.multiple.error,,2,paymentsCount,
,,,paymentsErrorCount,
list.actions.cancel.queuePayment.multiple.success,,2,paymentsErrorCount,
,,,paymentsSuccessCount,
list.actions.cancel.queuePayment.single.clicked,,1,providerCode,
list.actions.cancel.queuePayment.single.error,,1,providerCode,
list.actions.cancel.queuePayment.single.success,,1,providerCode,
list.actions.delete.multiple.clicked,,1,paymentsCount,
list.actions.delete.multiple.error,,1,paymentsErrorCount,
list.actions.delete.multiple.success,,2,paymentsErrorCount,
,,,paymentsSuccessCount,
list.actions.delete.single.clicked,,2,paymentStatus,
,,,providerCode,
list.actions.delete.single.error,,2,paymentStatus,
,,,providerCode,
list.actions.delete.single.success,,2,paymentStatus,
,,,providerCode,
list.actions.openDraft.clicked,,1,providerCode,
list.actions.repeat.clicked,,2,paymentStatus,
,,,providerCode,
list.actions.repeat.error,,2,paymentStatus,
,,,providerCode,
list.actions.repeat.success,,2,paymentStatus,
,,,providerCode,
list.actions.send.multiple.clicked,,1,paymentsCount,
list.actions.send.multiple.error,,1,paymentsErrorCount,
list.actions.send.multiple.success,,2,paymentsErrorCount,
,,,paymentsSuccessCount,
list.actions.send.single.clicked,,2,paymentStatus,
,,,providerCode,
list.actions.send.single.error,,3,errorType,
,,,paymentStatus,
,,,providerCode,
list.actions.send.single.success,,2,paymentStatus,
,,,providerCode,
list.actions.sendToSign.multiple.clicked,,1,paymentsCount,
list.actions.sendToSign.multiple.error,,1,paymentsErrorCount,
list.actions.sendToSign.multiple.success,,2,paymentsErrorCount,
,,,paymentsSuccessCount,
list.actions.sendToSign.single.clicked,,1,providerCode,
list.actions.sendToSign.single.error,,1,providerCode,
list.actions.sendToSign.single.success,,1,providerCode,
list.actions.sign.clicked,,1,providerCode,
list.actions.sign.error,,1,providerCode,
list.load.success,,1,listType,
lists.closingDocuments.screen.initial.shown,,1,source,
lists.closingDocuments.tab.applied,,1,type,
lists.invoices.incoming.screen.initial.shown,,1,source,
lists.invoices.incoming.tab.applied,,1,type,
lists.invoices.outgoing.screen.initial.shown,,1,source,
lists.invoices.outgoing.tab.applied,,1,type,
Loans_Activation_Account_Choice,,2,preApproved,
,,,salesMethod,
Loans_Activation_Activate_SMS,,3,applicationId,
,,,preApproved,
,,,salesMethod,
Loans_Activation_Conditions_Shown,,2,preApproved,
,,,salesMethod,
Loans_Activation_Form,,3,applicationId,
,,,preApproved,
,,,salesMethod,
Loans_Activation_Form_Covenants,,3,applicationId,
,,,preApproved,
,,,salesMethod,
Loans_Activation_Refuse,,2,preApproved,
,,,salesMethod,
Loans_Activation_Refuse_Button,,2,preApproved,
,,,salesMethod,
Loans_Activation_Reject,,3,applicationId,
,,,preApproved,
,,,salesMethod,
Loans_Activation_Reject_Button,,3,applicationId,
,,,preApproved,
,,,salesMethod,
Loans_Activation_Success,,3,applicationId,
,,,preApproved,
,,,salesMethod,
Loans_Activation_Success_Page,,3,applicationId,
,,,preApproved,
,,,salesMethod,
Loans_FinStatement_ClientReject,,6,applicationId,
,,,bankNames,
,,,bankStatuses,
,,,bankTypes,
,,,integrationId,
,,,salesMethod,
Loans_FinStatement_Continue,,6,applicationId,
,,,bankNames,
,,,bankStatuses,
,,,bankTypes,
,,,integrationId,
,,,salesMethod,
Loans_FinStatement_Done,,6,applicationId,
,,,bankNames,
,,,bankStatuses,
,,,bankTypes,
,,,integrationId,
,,,salesMethod,
Loans_KLIK_Security_Page,,0,,
Loans_KLIK_Security_Page_Conditions,,0,,
Loans_KLZ_PledgeVerification_Page,,0,,
Loans_KLZ_SecurityPledge_Page,,0,,
Loans_KLZ_TermsNegotiation_Page,,0,,
Loans_Payment_Overdraft_Warning,,0,,
Loans_Preapproved_Loan_Button,,1,salesMethod,
Loans_Product_Page,,3,abtest,
,,,from,
,,,salesMethod,
Loans_Product_Page_Onboarding,,0,,
Loans_Questionnaire_Amount,,1,salesMethod,
Loans_Questionnaire_Company_Profit,,1,salesMethod,
Loans_Questionnaire_Company_Revenue,,1,salesMethod,
Loans_Questionnaire_Finish,,2,abTest,
,,,salesMethod,
Loans_Questionnaire_Income,,1,salesMethod,
Loans_Questionnaire_Procurement_Info,,0,,
Loans_Questionnaire_Procurement_Number,,0,,
Loans_Questionnaire_Purpose,,1,salesMethod,
Loans_Questionnaire_Surety,,1,salesMethod,
Loans_Repayment_Done,,2,salesMethod,
,,,type,
Loans_Repayment_Parameters_Shown,,3,parameter,
,,,salesMethod,
,,,type,
Loans_Repayment_Shown,,2,salesMethod,
,,,type,
Loans_Screen_Application_Button,,2,applicationId,
,,,salesMethod,
Loans_Screen_Application_Page,,3,abTest,
,,,applicationId,
,,,salesMethod,
Loans_Screen_Creation,,1,salesMethod,
Loans_Screen_FinStatement,,6,applicationId,
,,,bankNames,
,,,bankStatuses,
,,,bankTypes,
,,,integrationId,
,,,salesMethod,
Loans_Screen_FinStatement_NoInfo,,6,applicationId,
,,,bankNames,
,,,bankStatuses,
,,,bankTypes,
,,,integrationId,
,,,salesMethod,
Loans_Screen_Rejection,,1,salesMethod,
Loans_Screen_Scoring_Long,,1,salesMethod,
Loans_Screen_Scoring_Quick,,1,salesMethod,
Loans_Screen_Security_Signers,,1,salesMethod,
Loans_Screen_Security_SignNow,,4,salesMethod,
,,,screen,
,,,subscreenNames,
,,,subscreenStatuses,
Loans_Screen_ToWeb,,4,salesMethod,
,,,screen,
,,,subscreenNames,
,,,subscreenStatuses,
Loans_Screen_Verification,,1,salesMethod,
Loans_Start_Repayment,,2,salesMethod,
,,,type,
Loans_Surety_Agreement_Shown,,1,salesMethod,
Loans_Surety_Agreement_Signed,,1,salesMethod,
Loans_TermsNegotiation_Success_Page,,2,salesMethod,
,,,template,
Loans_WaitingRko_Page,,2,integrationId,
,,,salesMethod,
loansApplication.productPage.displayed,,3,from,
,,,productId,
,,,project,
loansApplication.questionnaire.amountPage.displayed,,2,productId,
,,,project,
loansApplication.questionnaire.incomePage.displayed,,2,productId,
,,,project,
loansApplication.questionnaire.procurementInfoPage.displayed,,1,project,
loansApplication.questionnaire.procurementNumberPage.displayed,,1,project,
loansApplication.questionnaire.purposePage.displayed,,2,productId,
,,,project,
loansApplication.questionnaire.revenuePage.displayed,,2,productId,
,,,project,
logInputStoryAction,,3,action,
,,,name,
,,,storyId,
logStorySwipe,,3,direction,
,,,name,
,,,storyId,
Main_ASConnected_Shown,,0,,
Main_CallWaiting_Onboarding_Shown,,0,,
Main_CallWaiting_Shown,,0,,
Main_Connecting_Onboarding_Shown,,0,,
Main_Connecting_Shown,,0,,
Main_PaymentFailed_Onboarding_Shown,,1,canChangeServicetype,
Main_PaymentFailed_Shown,,0,,
mainPage.arrangeAnnualSubscription.pressed,,1,tariffCode,
mainPage.changeTariff.pressed,,2,currentTariffCode,
,,,targetTariffCode,
mainPage.conditions.inHeader.hint.freeDays.pressed,,1,tariffCode,
mainPage.conditions.inHeader.pressed,,1,tariffCode,
mainPage.load.error,,0,,
mainPage.load.success,,0,,
mainPage.option.hint.pressed,,2,option,
,,,tariffCode,
mainPage.option.switched,,2,buttonType,
,,,option,
mainPage.packages.pressed,,1,tariffCode,
mainPage.scrolled,,1,tariffCode,
mainPage.tariff.changed,,2,newTariffCode,
,,,previousTariffCode,
mainPage.tariff.shown,,1,tariffCode,
mainPage.tbundleBadge.button.pressed,,1,project,
mainPage.tbundleBadge.pressed,,1,project,
mainProductsScreen.displayed,,0,,
mainProductsScreen.error.amlClose,,0,,
mainProductsScreen.error.loading,,1,scope,
mainProductsScreen.error.openPreApprovedLoan,,0,,
mainProductsScreen.getOffers.started,,0,,
mainProductsScreen.getOffers.success,,0,,
mainProductsScreen.getStories,,0,,
mainProductsScreen.getStoriesError,,0,,
mainProductsScreen.loadingFinished,,1,success,
mainProductsScreen.offer.action,,1,offerLocation,
mainProductsScreen.offer.closed,,1,offerLocation,
mainProductsScreen.offer.displayed,,1,offerLocation,
mainProductsScreen.openDeeplinkError,,0,,
mainProductsScreen.showStory,,0,,
mainScreen.shown,,1,project,
More_Offers_Item_Click,,1,itemType,
More_Profile_Item_Click,,1,itemType,
Moye_Delo_New_Shown,,0,,
Moye_Delo_Shown,,0,,
newMore.itemClick,,1,item,
newMore.onboarding.click,,0,,
newMore.onboarding.shown,,1,state,
newMore.shown,,0,,
NewProduct_Accounting_Arrest_Click,,0,,
NewProduct_Accounting_Arrest_Shown,,0,,
NewProduct_Accounting_ChooseTariff_Click,,0,,
NewProduct_Accounting_Shown,,0,,
newProductsScreen.displayed,,0,,
newProductsScreen.internetAcquiring.loaded,,0,,
newProductsScreen.internetAcquiring.tapped,,0,,
newProductsScreen.load.error,,1,errorType,
newProductsScreen.load.started,,0,,
newProductsScreen.load.success,,0,,
NewSMELoan_Sent,,2,application_id,
,,,hid,
NewSMELoan_Shown,,3,application_id,
,,,loan_step,
,,,step,
NewSMELoan_WebView_Tap,,2,application_id,
,,,hid,
NotificationFeed_Clickon,,3,from,
,,,importance,
,,,title,
NotificationFeed_Shown,,1,from,
Notifications_Add_Sms_Success,,1,successFlg,
Notifications_Push_Changed,,2,notificationType,
,,,status,
Notifications_Push_Shown,,0,,
Notifications_Sms_Changed,,2,notificationType,
,,,status,
Notifications_Sms_Shown,,0,,
notifyAboutPayment.formScreen.openedWithSelectedChannel,,1,channel,
notifyAboutPayment.menu.opened,,0,,
notifyAboutPayment.paymentReceipt.notifications,,3,action,
,,,emails,
,,,phones,
onboarding.createApplication.error,,1,project,
onboarding.createApplication.success,,2,applicationId,
,,,project,
Onboarding_DeactivateRequest_Click,,1,status,
Onboarding_DeactivateRequest_Deactivated,,1,status,
Onboarding_DeactivateRequest_Dialog_No_Click,,1,status,
Onboarding_DeactivateRequest_Dialog_Yes_Click,,1,status,
Onboarding_NeedRKO_AboutAccounting_Clicked,,0,,
Onboarding_NeedRKO_OpenRKO_Clicked,,0,,
Onboarding_NeedRKO_Shown,,0,,
Onboarding_Payment,,1,page,
Onboarding_Payment_Close,,0,,
OnlineAccountingMain_AllTaxEvents_Shown,,0,,
OnlineAccountingMain_AllTaxEvents_TaxEvents_Clicked,,4,descriptionMain,
,,,descriptionType,
,,,taxFeePeriod,
,,,wizardType,
OnlineAccountingMain_AllTaxEvents_Year_Clicked,,1,year,
OnlineAccountingMain_Shown,,2,count,
,,,group,
OnlineAccountingMain_TaxEvents_Clicked,,4,descriptionMain,
,,,descriptionType,
,,,taxFeePeriod,
,,,wizardType,
onTinkoff.byNumber.formPage.close.success,,0,,
onTinkoff.byNumber.formPage.load.success,,1,formType,
onTinkoff.byNumber.formPage.send.error,,1,errorType,
onTinkoff.byNumber.formPage.send.success,,0,,
onTinkoff.byNumber.formPage.submitted,,0,,
onTinkoff.byNumber.noSourceAccountsPage.load.success,,0,,
onTinkoff.selfPayment.failureScreen.load.success,,0,,
onTinkoff.selfPayment.formScreen.close.success,,0,,
onTinkoff.selfPayment.formScreen.load.success,,1,formType,
onTinkoff.selfPayment.formScreen.noCurrencyOffer.pressed,,1,currency,
onTinkoff.selfPayment.formScreen.send.error,,1,errorType,
onTinkoff.selfPayment.formScreen.send.success,,0,,
onTinkoff.selfPayment.formScreen.submitted,,0,,
onTinkoff.selfPayment.noCurrencyScreen.addCurrencyButton.pressed,,0,,
onTinkoff.selfPayment.noSourceAccountsScreen.load.success,,0,,
onTinkoff.selfPayment.noSourceAccounts‎Screen.load.success,,0,,
onTinkoff.selfPayment.noTargetAccountsScreen.addTargetAccountButton.pressed,,0,,
onTinkoff.selfPayment.noTargetAccountsScreen.load.success,,0,,
operationDetailsScreen.offer.action,,1,offerLocation,
operationDetailsScreen.offer.closed,,1,offerLocation,
operationDetailsScreen.offer.displayed,,1,offerLocation,
operationFeed.actions.repeat.onTinkoff.selfPayment.clicked,,0,,
operationFeed.firstTimeScrolled,,0,,
operationFeed.listLoaded,,1,time,
operationFeed.pullToRefresh,,0,,
operationFeedV2.closeButton.clicked,,0,,
operationFeedV2.errorToast.shown,,1,project,
operationFeedV2.item.clicked,,1,project,
operationFeedV2.loadMoreData,,1,project,
operationFeedV2.pullToRefresh,,1,project,
operationFeedV2.retryButton.clicked,,0,,
operationFeedV2.search.cancelButton.clicked,,1,project,
operationFeedV2.search.cleanButton.clicked,,0,,
operationFeedV2.search.contentChanged,,1,state,
operationFeedV2.search.filters.periodButton.clicked,,1,project,
operationFeedV2.search.filtersButton.clicked,,0,,
operationFeedV2.search.item.clicked,,0,,
operationFeedV2.search.retryButton.clicked,,1,project,
operationFeedV2.search.tag.clicked,,1,project,
operationFeedV2.searchButton.clicked,,0,,
operationFeedV2.tab.changed,,1,targetTab,
operations.actions.addToFavorites.clicked,,2,project,
,,,providerCode,
operations.actions.addToFavorites.error,,2,paymentStatus,
,,,providerCode,
operations.actions.addToFavorites.success,,2,paymentStatus,
,,,providerCode,
operations.actions.changeRequisites.clicked,,2,project,
,,,providerCode,
operations.actions.changeRequisites.error,,1,providerCode,
operations.actions.changeRequisites.success,,1,providerCode,
operations.actions.createPaymentByRequisites.clicked,,2,project,
,,,providerCode,
operations.actions.createPaymentByRequisites.error,,2,project,
,,,providerCode,
operations.actions.createPaymentByRequisites.success,,2,project,
,,,providerCode,
operations.actions.repeat.clicked,,2,project,
,,,providerCode,
operations.actions.repeat.error,,2,project,
,,,providerCode,
operations.actions.repeat.success,,2,project,
,,,providerCode,
operations.closed,,1,project,
operations.date.clear,,1,project,
operations.date.clicked,,1,project,
operations.error,,1,project,
operations.error.button.clicked,,1,project,
operations.item.clicked,,1,type,
operations.items.displayed,,2,page,
,,,project,
operations.items.error,,0,,
operations.items.nextPageRetry.displayed,,0,,
operations.items.retry.clicked,,0,,
operations.opened,,1,project,
operations.pulldownRefresh.displayed,,1,project,
operations.shop.clicked,,0,,
operations.shop.displayed,,1,project,
Orientation_Status,,1,orientation,
orig_sbp_add_shop,,0,,
orig_sbp_add_shop_continue_tap,,2,mcc,
,,,tax,
orig_sbp_add_shop_error,,1,error_num,
orig_sbp_add_shop_sent,,1,id,
orig_sbp_add_shop_tax_choosed,,2,mcc,
,,,tax,
orig_sbp_mcc_continue_tap,,2,mcc,
,,,tax,
orig_sbp_mcc_error,,1,error_num,
orig_sbp_mcc_shown,,0,,
orig_sbp_mcc_tax_choosed,,2,mcc,
,,,tax,
orig_sbp_offer_onboard_page1,,1,id,
orig_sbp_offer_onboard_page2,,1,id,
orig_sbp_product_page_shown,,0,,
orig_sbp_sent,,6,id,
,,,utm_campaign,
,,,utm_content,
,,,utm_medium,
,,,utm_source,
,,,utm_term,
Origination_Application_Sent,,1,id,
Origination_Choose_Company_Shown,,0,,
Origination_File_Upload_Invalid_Format_Error,,2,id,
,,,type,
origination_meteor_add_calendar,,0,,
origination_meteor_address,,1,id,
origination_meteor_contact,,1,id,
origination_meteor_details,,0,,
origination_meteor_done,,1,id,
origination_meteor_done_error,,0,,
origination_meteor_greyzone,,1,pickpoint,
origination_meteor_noSlots,,0,,
origination_meteor_start,,1,id,
Origination_Print_Passport_Done,,2,id,
,,,who,
Origination_Product_Page_Shown,,0,,
Origination_RegIP_Address_Shown,,0,,
Origination_RegIP_Document_Tap,,0,,
Origination_RegIP_Document_Upload,,0,,
Origination_RegIP_Document_Upload_Error,,1,error,
Origination_RegIP_Documents_Shown,,2,deeplink,
,,,request,
Origination_RegIP_Email_Shown,,0,,
Origination_RegIP_ExtraOKVED_Shown,,0,,
Origination_RegIP_MainOKVED_Shown,,0,,
Origination_RegIP_Name_Error,,0,,
Origination_RegIP_Name_Shown,,0,,
Origination_RegIP_NewOKVED_Shown,,0,,
Origination_RegIP_Position_Shown,,0,,
Origination_RegIP_Product_Shown,,2,client_exist,
,,,config,
Origination_RegIP_Sent,,1,id,
Origination_RegIP_Shorts_Created,,1,id,
Origination_RegIP_SNILS_Shown,,0,,
Origination_RegIP_Status_Info_Tap,,1,status,
Origination_RegIP_Status_Shown,,1,status,
Origination_RegIP_Status_Upload_Docs_Tap,,0,,
Origination_RegIP_Status_Upload_INN_Tap,,0,,
Origination_RegIP_Taxation_Choosen,,1,taxationSystem,
Origination_RegIP_Taxation_Shown,,1,taxationStatus,
Origination_RegIP_Upload_Docs_Success_Shown,,0,,
Origination_RegIP_WebView_Open,,0,,
Origination_Rko_Status_Meeting_Details,,0,,
Origination_Rko_Status_Shown,,3,id,
,,,status_name,
,,,status_type,
Origination_Signing_Code_Shown,,1,id,
Origination_Signing_Document_Error,,2,id,
,,,type,
Origination_Start_Shown,,2,client_exist,
,,,loans,
Origination_test_fill,,2,correct,
,,,filled,
Origination_Test_RegIP,,2,client_exist,
,,,show,
OutsourceMain_Chat,,0,,
OutsourceMain_Close,,0,,
OutsourceMain_FAQ_Chat,,0,,
OutsourceMain_FAQ_Close,,0,,
OutsourceMain_FAQ_Question_Clicked,,1,question,
OutsourceMain_FAQ_Question_MoreDetails_Clicked,,1,question,
OutsourceMain_NeedHelp,,0,,
OutsourceMain_SearchingForAccountant_Chat,,0,,
OutsourceMain_SearchingForAccountant_Close,,0,,
OutsourceMain_SearchingForAccountant_Done,,0,,
OutsourceMain_SearchingForAccountant_Shown,,0,,
OutsourceMain_Shown,,0,,
OutsourceNewMain_AccountantEvent_Clicked,,2,accountantEventStatusTitle,
,,,accountantEventTitle,
OutsourceNewMain_AllPayments_Clicked,,0,,
OutsourceNewMain_AskQuestion_Clicked,,0,,
OutsourceNewMain_ClientPayment_Clicked,,2,clientPaymentTitle,
,,,clientPaymentType,
OutsourceNewMain_Close,,0,,
OutsourceNewMain_Shown,,0,,
OutsourceNewMain_СlientEvent_Clicked,,2,clientEventTitle,
,,,clientEventType,
Overnight_AccountScreen_Shown,,0,,
Overnight_Auto_Replenish_Settings,,2,all_money,
,,,inviolable_money,
Overnight_Close_Sent,,0,,
