iteration,users,start_in_yellow
2751,1,0
2185,3,0
1659,5,0
30,26635,17
2230,3,0
692,82,0
281,946,0
1186,15,0
2716,1,0
1421,5,0
943,31,0
441,312,0
2481,3,0
2732,1,0
1170,15,0
532,190,0
190,2111,0
1752,3,0
2003,3,0
783,50,0
2401,3,0
1672,5,0
206,1818,0
1501,5,0
2983,1,0
1923,3,0
2967,1,0
2150,3,0
1910,3,0
741,65,0
123,4579,0
320,703,0
2914,1,0
2717,1,0
1127,18,0
1649,5,0
842,43,0
581,146,0
2195,3,0
480,258,0
2456,3,0
1002,28,0
1388,6,0
2411,3,0
1977,3,0
909,34,0
216,1662,0
2698,1,0
1817,3,0
2682,1,0
2160,3,0
1220,12,0
1044,28,0
1742,3,0
1566,5,0
1535,5,0
2176,3,0
1204,14,0
1993,3,0
674,89,0
989,28,0
658,95,0
387,433,0
1455,5,0
467,272,0
2491,3,0
1726,3,0
136,3865,0
2949,1,0
2933,1,0
1295,11,0
635,108,0
330,648,0
490,245,0
69,10590,3
2968,1,0
1137,16,0
1900,3,0
229,1478,0
1398,6,0
1639,5,0
2402,3,0
832,45,0
2707,1,0
2205,3,0
992,28,0
2421,3,0
1967,3,0
1465,5,0
2688,1,0
1716,3,0
477,261,0
648,99,0
2047,3,0
2437,3,0
1230,12,0
899,35,0
2923,1,0
2170,3,0
1807,3,0
146,3424,0
1305,11,0
728,70,0
1214,13,0
1732,3,0
1054,25,0
2186,3,0
1481,5,0
162,2856,0
979,29,0
1556,5,0
2672,1,0
397,404,0
1741,3,0
761,54,0
2364,3,0
2103,3,0
1842,3,0
2263,3,0
1022,28,0
1320,11,0
1480,5,0
1219,13,0
2561,1,0
1059,25,0
239,1354,0
79,8888,3
862,39,0
340,604,0
2524,2,0
2982,1,0
2822,1,0
2721,1,0
601,127,0
1581,5,0
2002,3,0
500,231,0
1152,16,0
2559,1,0
1909,3,0
172,2582,0
1658,5,0
423,351,0
2841,1,0
2766,1,0
694,81,0
1136,16,0
2590,1,0
1925,3,0
1467,5,0
2228,3,0
2244,3,0
1674,5,0
156,3054,0
1387,6,0
945,31,0
407,380,0
2750,1,0
2319,3,0
2068,3,0
614,113,0
865,38,0
2479,3,0
2310,3,0
852,40,0
1229,12,0
2049,3,0
1832,3,0
2209,3,0
1012,28,0
1992,3,0
2470,3,0
89,7507,1
1490,5,0
2876,1,0
1069,24,0
1571,5,0
350,562,0
751,61,0
2615,1,0
1731,3,0
2775,1,0
510,219,0
249,1247,1
1330,9,0
591,138,0
182,2296,0
1664,5,0
1413,5,0
2078,3,0
935,32,0
2254,3,0
2329,3,0
353,553,0
102,6160,2
2740,1,0
2505,2,0
2489,3,0
2238,3,0
919,33,0
1979,3,0
684,84,0
2580,1,0
433,333,0
1162,16,0
2756,1,0
668,89,0
2831,1,0
2320,3,0
35,22782,14
2480,3,0
2581,1,0
2059,3,0
296,825,0
1103,20,0
2757,1,0
1625,5,0
2496,2,0
2741,1,0
456,283,0
2842,1,0
2299,3,0
1886,3,0
1524,5,0
1263,11,0
557,163,0
1364,6,0
195,2023,0
1785,3,0
818,47,0
717,74,0
2046,3,0
2219,3,0
978,29,0
1969,3,0
650,99,0
1447,5,0
2515,2,0
1718,3,0
901,35,0
1431,5,0
2957,1,0
2435,3,0
1196,15,0
2264,3,0
443,309,0
128,4290,0
2722,1,0
2184,3,0
2706,1,0
2036,3,0
1615,5,0
1113,19,0
2506,2,0
466,272,0
2571,1,0
808,48,0
2490,3,0
45,17613,7
2731,1,0
2811,1,0
2832,1,0
1374,6,0
1775,3,0
707,75,0
2330,3,0
1876,3,0
1273,11,0
2229,3,0
968,29,0
2069,3,0
306,764,0
2245,3,0
1534,5,0
547,179,0
205,1836,0
2776,1,0
2210,3,0
1959,3,0
1708,4,0
2947,1,0
389,426,0
138,3764,0
1206,13,0
2525,2,0
640,102,0
1457,5,0
955,31,0
1994,3,0
1296,11,0
215,1681,0
2649,1,0
774,50,0
476,261,0
1035,28,0
1818,3,0
2127,3,0
316,719,0
673,89,0
2548,2,0
2910,1,0
1456,5,0
1733,3,0
934,33,0
753,60,0
231,1452,0
55,13953,8
1978,3,0
1717,3,0
1472,5,0
1275,11,0
1557,5,0
2809,1,0
2287,3,0
1014,28,0
513,216,0
2388,3,0
1195,15,0
492,243,0
1901,3,0
1650,5,0
921,33,0
2790,1,0
2423,3,0
2881,1,0
2630,1,0
1379,6,0
1128,16,0
2172,3,0
148,3349,0
670,89,0
399,399,0
727,70,0
241,1331,0
2799,1,0
2558,1,0
502,230,0
2297,3,0
262,1112,0
567,155,0
2900,1,0
988,28,0
1984,3,0
743,63,0
1,185650,1974
1547,5,0
1787,3,0
1466,5,0
